名称,日期
"
		[最新电影]
		2017年高分获奖剧情《一念无明》HD粤语中字
	",日期：2017-07-23 00:02:15 
"
		[最新电影]
		2017年剧情《台北物语》HD国语中字
	",日期：2017-07-22 23:57:54 
"
		[最新电影]
		2017年段奕宏黄轩动作《非凡任务/猎鹰》BD国语中字
	",日期：2017-06-25 23:13:43 
"
		[最新电影]
		2016年林家栋陈静《此情此刻》BD国粤双语中字
	",日期：2017-06-25 23:07:50 
"
		[最新电影]
		2017年恐怖动作《救僵清道夫/尸奔日记》BD国粤双语中字
	",日期：2017-06-24 18:06:38 
"
		[综合电影]
		2017年刘德华悬疑动作《拆弹专家》HD国语中字
	",日期：2017-06-23 23:34:52 
"
		[综合电影]
		2017年悬疑惊悚《夜闯寡妇村》HD中字
	",日期：2017-06-22 21:41:26 
"
		[综合电影]
		刘德华谭咏麟经典《至尊无上》BD国粤双语中字
	",日期：2017-05-29 23:35:22 
"
		[综合电影]
		周润发经典动作《和平饭店》HD国粤双语中字
	",日期：2017-05-29 23:33:35 
"
		[综合电影]
		2016年剧情《我们的故事》BD中文字幕
	",日期：2017-05-27 21:41:24 
"
		[综合电影]
		2017年悬疑喜剧《提着心吊着胆》HD国语中字
	",日期：2017-05-27 21:38:40 
"
		[综合电影]
		2017年爱情喜剧《爱情冻住了》HD国语中字
	",日期：2017-05-26 20:37:07 
"
		[综合电影]
		2016年剧情爱情《再见瓦城》HD中文字幕
	",日期：2017-05-25 23:50:38 
"
		[最新电影]
		2017年爱情喜剧《合约男女/婚前合约》BD国粤双语中字
	",日期：2017-05-24 18:38:16 
"
		[综合电影]
		2017年爱情喜剧《此情此刻》HD国粤双语中字
	",日期：2017-05-24 18:40:27 
"
		[综合电影]
		2017年爱情喜剧《疯岳撬佳人》HD国语中字
	",日期：2017-04-23 21:41:31 
"
		[最新电影]
		2016年梁朝伟金城武杨颖《摆渡人》BD国粤双语中字
	",日期：2017-03-23 23:53:45 
"
		[综合电影]
		2016年胡歌宋佳悬疑《那年夏天你去了哪里》HD国语中字
	",日期：2017-03-11 22:55:42 
"
		[综合电影]
		2016年爱情喜剧《爱上试睡师》HD国语中字
	",日期：2017-01-28 22:20:07 
"
		[综合电影]
		2016奇幻冒险《勇士之门》HD国语中字
	",日期：2016-12-27 23:58:58 
"
		[综合电影]
		2016年动画喜剧《新大头儿子和小头爸爸2一日成才》HD国语中字
	",日期：2016-11-28 23:23:13 
"
		[综合电影]
		2016年动作喜剧《夺路而逃》HD国语中字
	",日期：2016-11-25 23:44:54 
"
		[综合电影]
		2016年剧情《反贪风暴2》HD国语中字
	",日期：2016-10-27 23:57:00 
"
		[最新电影]
		2016年奇幻悬疑动作《盗墓笔记》HD国语中字
	",日期：2016-09-19 16:04:32 
"
		[综合电影]
		2016年动画喜剧《我叫MT之山口山战记》HD国语中字
	",日期：2016-09-17 20:07:35 
"
		[最新电影]
		2016年刘青云古天乐动作《危城》HD国语中字
	",日期：2016-09-16 20:41:55 
"
		[综合电影]
		2016年悬疑《恐怖爱情故事之死亡公路》HD国语中字
	",日期：2016-08-23 18:43:55 
"
		[综合电影]
		2016年悬疑喜剧《记忆碎片》HD国语中字
	",日期：2016-07-19 23:07:31 
"
		[最新电影]
		2016年爱情喜剧《北京遇上西雅图之不二情书》HD国语中字
	",日期：2016-06-19 21:41:42 
"
		[综合电影]
		2016年悬疑惊悚《妄想症》HD国语中字
	",日期：2016-05-24 20:35:05 
"
		[最新电影]
		2016年动作《西游记之孙悟空三打白骨精》HD国语中字
	",日期：2016-04-09 11:30:23 
"
		[最新电影]
		2016年动作《卧虎藏龙：青冥宝剑》BD国粤双语中字
	",日期：2016-04-08 14:50:05 
"
		[最新电影]
		2015年冯远征秦海璐惊悚《闯入者》HD国语中字
	",日期：2016-04-07 20:18:29 
"
		[综合电影]
		2015年动作《西游记之锁妖封魔塔》HD国语中字
	",日期：2016-03-13 22:23:40 
"
		[最新电影]
		2015年舒淇彭于晏《剩者为王》BD国语中字
	",日期：2016-02-06 00:28:56 
"
		[综合电影]
		2015年悬疑《心迷宫/殡棺》HD国语中字
	",日期：2015-12-28 21:59:48 
"
		[最新电影]
		2015年白百何《陪安东尼度过漫长岁月》HD国语中字
	",日期：2015-12-28 15:46:25 
"
		[最新电影]
		2015年任贤齐舒淇《落跑吧爱情》BD国语中字
	",日期：2015-12-27 18:19:05 
"
		[综合电影]
		2015年喜剧《夏洛特烦恼》HD国语中字
	",日期：2015-11-28 19:58:27 
"
		[综合电影]
		2015年爱情喜剧《爱情攻略》HD国语中字
	",日期：2015-11-28 19:44:43 
"
		[综合电影]
		2015年悬疑惊悚《人皮拼图/面魔》HD国语中字
	",日期：2015-11-27 18:42:14 
"
		[最新电影]
		2015年爱情喜剧《情敌蜜月》HD国语中字
	",日期：2015-10-22 22:10:26 
"
		[综合电影]
		2015年古天乐余文乐动作《谜城/迷城》HD粤语中字
	",日期：2015-09-17 21:37:47 
"
		[综合电影]
		2015年古天乐余文乐动作《谜城/迷城》HD粤语中字
	",日期：2015-09-17 21:37:47 
"
		[综合电影]
		2015年悬疑惊悚《七月半之恐怖宿舍》HD国语中字
	",日期：2015-09-16 22:56:33 
"
		[综合电影]
		2012年爱情喜剧《变身男女》HD国语
	",日期：2015-09-16 22:53:04 
"
		[最新电影]
		2015年刘青云黄晓明《暴疯语》BD国粤双语中字
	",日期：2015-08-23 01:02:38 
"
		[综合电影]
		2015年剧情《天边的孩子》HD国语中字
	",日期：2015-07-21 23:40:07 
"
		[综合电影]
		2015年赵薇黄晓明喜剧《横冲直撞好莱坞》HD国语中字
	",日期：2015-07-20 23:37:45 
"
		[综合电影]
		2015年吴镇宇姚星彤喜剧《土豪520》HD国语中字
	",日期：2015-07-20 23:27:47 
"
		[综合电影]
		2015年惊悚悬疑《封门诡影》HD国语中字
	",日期：2015-06-12 22:30:40 
"
		[综合电影]
		2015年喜剧《将错就错》HD国语中字
	",日期：2015-05-13 00:16:36 
"
		[最新电影]
		2014年动作喜剧《神探驾到》BD国粤双语中字
	",日期：2015-04-03 23:25:26 
"
		[最新电影]
		2014年动作《黄飞鸿之英雄有梦》BD国粤双语中字
	",日期：2015-02-19 14:33:21 
"
		[最新电影]
		2014年喜剧《唐伯虎冲上云霄》HD国粤双语中字
	",日期：2015-02-19 14:29:59 
"
		[最新电影]
		2014年动作《智取威虎山》HD国语中字
	",日期：2015-02-16 19:28:23 
"
		[最新电影]
		2014年悬疑惊悚《催眠大师》BD国语中字
	",日期：2015-02-16 19:27:59 
"
		[综合电影]
		2014年爱情喜剧《精武青春》HD国语中字
	",日期：2015-01-18 22:31:23 
"
		[综合电影]
		2014年悬疑惊悚《血彩/蒲怨》HD国语中字
	",日期：2014-12-10 21:22:31 
"
		[综合电影]
		2014年黄秋生爱情动作《潜龙风云》HD国语中字
	",日期：2014-12-09 19:54:37 
"
		[综合电影]
		2014年惊悚悬疑《女生宿舍》HD国语中字
	",日期：2014-11-06 21:48:24 
"
		[综合电影]
		2014年陈乔恩黄晓明爱情《激浪青春》HD国语中字
	",日期：2014-10-07 18:26:25 
"
		[综合电影]
		2013年动作《神偷特工》HD国语中字
	",日期：2014-08-28 22:30:21 
"
		[综合电影]
		2014年奇幻惊悚《非狐外传》HD国语中字
	",日期：2014-07-17 21:09:21 
"
		[最新电影]
		2013年动画《聪明的一休之反斗公主》HD国语中字
	",日期：2014-06-11 20:07:06 
"
		[最新电影]
		2014年爱情喜剧《追爱大布局》720p.BD国语中字
	",日期：2014-05-05 22:42:16 
"
		[最新电影]
		2013年剧情《周恩来的四个昼夜》HD国语中字
	",日期：2014-03-28 23:19:26 
"
		[最新电影]
		2014年喜剧《金牌流浪狗》HD国语中字
	",日期：2014-02-27 22:11:29 
"
		[最新电影]
		2013年爱情喜剧《意外的恋爱时光》HD国语中字
	",日期：2014-01-22 22:25:32 
"
		[最新电影]
		2013年动作《金刚王：死亡救赎》HD国语中字
	",日期：2013-12-19 23:40:34 
"
		[最新电影]
		2013年喜剧《美姐/铁蛋儿的情歌》HD国语中字
	",日期：2013-11-27 21:20:40 
"
		[综合电影]
		2013年喜剧《后院有宝》720p.HD国语中字
	",日期：2013-11-03 21:26:08 
"
		[最新电影]
		2013年惊悚悬疑《笔仙2》720p.HD国语中字
	",日期：2013-10-06 23:12:49 
"
		[综合电影]
		2013年喜剧《干掉客户》720p.HD国语中字
	",日期：2013-09-01 19:44:37 
"
		[最新电影]
		2013年动作《太极侠》720p.HD国语中字
	",日期：2013-08-10 11:14:56 
"
		[最新电影]
		2013年周杰伦动作喜剧《天台爱情》1024x576.BD国语中字
	",日期：2013-08-08 10:13:25 
"
		[综合电影]
		2013年动作喜剧《笑功震武林》720p.HD国语中字
	",日期：2013-07-11 20:06:25 
"
		[最新电影]
		宋佳/黄觉2013年剧情《萧红》1024x576.HD国语中字
	",日期：2013-05-24 15:52:38 
"
		[最新电影]
		2012年历史动作《王的盛宴》720p.BD国语中字
	",日期：2013-03-31 21:23:44 
"
		[综合电影]
		2010年剧情《野蛮妈妈结婚记》720p.国语中字
	",日期：2013-02-13 00:10:12 
"
		[最新电影]
		2012年最新《幸福迷途》720p.HD国语中字
	",日期：2012-12-13 21:23:14 
"
		[综合电影]
		2012年爱情喜剧《稍安勿躁》720p.HD国语中字
	",日期：2012-10-30 18:25:57 
"
		[综合电影]
		2011年爱情喜剧《追爱/长城外面是故乡》720p.HD国语中字
	",日期：2012-09-24 21:14:27 
"
		[最新电影]
		2012年动画《赛尔号2：雷伊与迈尔斯》720p.HD国语中字
	",日期：2012-08-22 16:08:50 
"
		[最新电影]
		杨颖/赵又廷/江珊2012年最新《第一次》720p.BD国语中字
	",日期：2012-07-23 21:11:06 
"
		[最新电影]
		2012最新喜剧《狂奔蚂蚁》720p.HD国语中字
	",日期：2012-07-05 17:57:07 
"
		[最新电影]
		2012最新《超时空救兵》1024x440.HD国语中字
	",日期：2012-06-04 13:47:55 
"
		[最新电影]
		2012最新《烂赌夫斗烂赌妻》720p.BD国粤双语中字
	",日期：2012-05-12 21:10:15 
"
		[综合电影]
		1024分辨率《床下有人》HD国语中字
	",日期：2012-04-15 16:50:43 
"
		[综合电影]
		许氏三兄弟经典《天才与白痴》1024x576.BD国粤双语中字
	",日期：2012-03-12 10:48:41 
"
		[最新电影]
		林志颖、姚笛2012最新《变身男女》DVDscr中字
	",日期：2012-02-11 13:49:12 
"
		[最新电影]
		1024分辨率《翻滚吧！阿信》BD中字
	",日期：2011-12-29 16:42:21 
"
		[最新电影]
		1024分辨率《白蛇传说》BD国粤双语中字
	",日期：2011-11-29 22:09:40 
"
		[最新电影]
		1024分辨率《窃听风云2》BD国粤双语中字
	",日期：2011-11-01 18:34:04 
"
		[综合电影]
		1024分辨率《行运一条龙》HD粤语中字
	",日期：2011-09-19 18:20:19 
"
		[综合电影]
		1024分辨率《那些一见钟情的事》HD国语
	",日期：2011-09-01 16:42:08 
"
		[综合电影]
		1024分辨率《陆小凤传奇之决战前后》HD国语中字
	",日期：2011-08-12 17:08:45 
"
		[最新电影]
		2011最新《假装情侣》DVD中字
	",日期：2011-07-24 15:11:57 
"
		[综合电影]
		刘德华/梁咏琪《龙在江湖》1024x576 国粤双语中字
	",日期：2011-07-08 18:47:50 
"
		[综合电影]
		成龙/洪金宝/元彪《快餐车》1024x560 国粤双语中字
	",日期：2011-06-25 14:19:23 
"
		[综合电影]
		杨紫琼《皇家师姐》1024x560 国粤双语中字
	",日期：2011-06-12 15:47:01 
"
		[综合电影]
		1024分辨率《北京童话》HD国语中字
	",日期：2011-05-14 11:32:00 
"
		[最新电影]
		《老夫子之小水虎传奇》1024x576 国粤双语中字
	",日期：2011-04-23 14:03:07 
"
		[最新电影]
		2011最新《笑着回家》DVD中字
	",日期：2011-04-01 00:49:22 
"
		[综合电影]
		1024分辨率《独家试爱》HD粤语中字
	",日期：2011-02-16 14:08:41 
"
		[综合电影]
		1024分辨率《十分爱》HD粤语中字
	",日期：2011-02-15 12:38:49 
"
		[综合电影]
		1024分辨率《我的最爱》HD粤语中字
	",日期：2011-02-15 12:32:34 
"
		[综合电影]
		甄子丹/于荣光《少年黄飞鸿之铁马骝》1024x576 国粤双语中字
	",日期：2011-02-10 16:01:41 
"
		[综合电影]
		1024分辨率《宝葫芦的秘密》HD国语中字
	",日期：2011-01-03 16:28:36 
"
		[最新电影]
		2010最新蓝正龙/郑靓歆《酷马》DVD中字
	",日期：2010-12-05 15:34:27 
"
		[最新电影]
		秦岚、方中信2010最新《庐山恋2010》DVD中字
	",日期：2010-11-09 14:48:38 
"
		[最新电影]
		张雨绮/余文乐《荒村公寓》1024x576 国粤双语中字
	",日期：2010-10-17 13:42:24 
"
		[综合电影]
		1024分辨率《冲锋陷阵》HD国语无水印
	",日期：2010-09-18 15:13:28 
"
		[最新电影]
		2010动作大片/古天乐吴彦祖《枪王之王》DVD粤语中字
	",日期：2010-08-26 21:05:17 
"
		[最新电影]
		2010最新/高圆圆 李小冉 刘烨《无人驾驶》DVD中字
	",日期：2010-07-22 11:43:47 
"
		[最新电影]
		2010最新动作/任达华《撕票风云/黑白战警》DVD中字
	",日期：2010-06-28 15:17:32 
"
		[综合电影]
		1024分辨率《对门儿》HD国语中字无水印
	",日期：2010-06-15 16:13:28 
"
		[最新电影]
		1024分辨率《叶问2：宗师传奇》BD国语中字无水印
	",日期：2010-06-14 17:06:38 
"
		[综合电影]
		1024分辨率《绝代双骄》HD粤语中字无水印
	",日期：2010-06-11 10:50:17 
"
		[综合电影]
		1024分辨率/刘德华+张学友《江湖》HD粤语中字无水印
	",日期：2010-06-09 12:22:00 
"
		[综合电影]
		1024分辨率《寻找阿依阔勒》HD国语中字无水印
	",日期：2010-06-09 12:10:32 
"
		[最新电影]
		1024分辨率/范冰冰+柳云龙《东风雨》BD国语中字无水印
	",日期：2010-06-08 18:13:14 
"
		[最新电影]
		1024分辨率《岁月神偷》BD国语中字无水印
	",日期：2010-06-06 17:28:34 
"
		[最新电影]
		2010最新任达华/吴君如《岁月神偷》DVD粤语中字
	",日期：2010-06-06 14:35:59 
"
		[综合电影]
		1024分辨率《新兵张本旺》HD国语中字无水印
	",日期：2010-06-05 02:53:12 
"
		[综合电影]
		1024分辨率《荡寇/塑料城市》BD中字无水印
	",日期：2010-06-04 10:30:01 
"
		[综合电影]
		1024分辨率《老鼠爱上猫》HD中字无水印
	",日期：2010-06-02 11:15:24 
"
		[综合电影]
		1024分辨率《冈拉梅朵》BD国语中字无水印
	",日期：2010-05-24 11:32:35 
"
		[最新电影]
		2010最新恐怖《恶胎》DVD粤语中字
	",日期：2010-04-29 12:12:45 
"
		[最新电影]
		1024分辨率《刺陵》BD国语中字无水印
	",日期：2010-04-16 12:15:20 
"
		[最新电影]
		09最新动画《亚瑟和他的迷你王国2》DVD听译中字
	",日期：2010-03-19 18:15:58 
"
		[最新电影]
		2010最新贺岁片《虹猫蓝兔火凤凰》DVD中字
	",日期：2010-03-01 22:13:31 
"
		[综合电影]
		1024分辨率《射雕英雄传之东成西就》BD国语中字无水印
	",日期：2010-01-17 15:58:24 
"
		[最新电影]
		08新片《扣篮对决/扣篮Slam》DVD中字
	",日期：2009-12-15 11:07:30 
"
		[最新电影]
		09剧情新片《不能没有你》DVD中字
	",日期：2009-11-13 10:02:18 
"
		[综合电影]
		1024分辨率《男儿本色》BD国语中字
	",日期：2009-11-04 13:06:08 
"
		[综合电影]
		1024分辨率《爱到底》BD中字
	",日期：2009-10-10 14:36:31 
